Schools,Links,Country
algonquin,https://acsis.algonquincollege.com/students,CA
abc,https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/login,CA
cgd,https://usosweb.ue.wroc.pl/kontroler.php?_action=logowaniecas/index,CA
